X,Y,Z (Existing)
0.0,0.0,9.006970206448685
1.0101010101010102,0.0,9.004365477326463
2.0202020202020203,0.0,8.96016835899735
3.0303030303030303,0.0,9.197422885332609
4.040404040404041,0.0,9.590587447284832
5.050505050505051,0.0,9.381403240984092
6.0606060606060606,0.0,9.204738285353606
7.070707070707071,0.0,9.218766187185741
8.080808080808081,0.0,9.450435182734456
9.090909090909092,0.0,9.51889086673378
10.101010101010102,0.0,9.529951913630336
11.111111111111112,0.0,9.54892653844931
12.121212121212121,0.0,9.725051541162047
13.131313131313131,0.0,9.89343256059342
14.141414141414142,0.0,9.904019018837616
15.151515151515152,0.0,10.08419486707904
16.161616161616163,0.0,9.938716329948202
17.171717171717173,0.0,10.125284370161646
18.181818181818183,0.0,10.243216105511014
19.191919191919194,0.0,10.166924782107408
20.202020202020204,0.0,10.263791218166501
21.212121212121215,0.0,10.17747604093163
22.222222222222225,0.0,10.142135215365474
23.232323232323235,0.0,10.3121452059576
24.242424242424242,0.0,10.495679529197766
25.252525252525253,0.0,10.499152233463729
26.262626262626263,0.0,10.313276819233353
27.272727272727273,0.0,10.381309874946803
28.282828282828284,0.0,10.533791639565164
29.292929292929294,0.0,10.660757663459325
30.303030303030305,0.0,10.79070402982275
31.313131313131315,0.0,10.838149660103317
32.323232323232325,0.0,10.87924683061957
33.333333333333336,0.0,11.020383491685484
34.343434343434346,0.0,11.193766305961947
35.35353535353536,0.0,11.25367310898987
36.36363636363637,0.0,11.217190386773513
37.37373737373738,0.0,11.473822915799882
38.38383838383839,0.0,11.768500330349298
39.3939393939394,0.0,11.97756753408737
40.40404040404041,0.0,12.303110002636977
41.41414141414142,0.0,12.37285162185643
42.42424242424243,0.0,12.280419645793582
43.43434343434344,0.0,12.28097897625623
44.44444444444445,0.0,12.419784785991023
45.45454545454546,0.0,12.328796999296436
46.46464646464647,0.0,12.111991904250509
47.47474747474748,0.0,11.870617554865424
48.484848484848484,0.0,11.658142463901093
49.494949494949495,0.0,11.579069284325804
50.505050505050505,0.0,11.167133725485474
51.515151515151516,0.0,10.72143267590712
52.525252525252526,0.0,10.472003461060135
53.535353535353536,0.0,10.122092436800786
